,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
135,Rhinolophus_mehelyi,IslandEndemic,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,experts,experts,NA,NA,NA
136,Rousettus_aegyptiacus,IslandEndemic,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,experts,experts,NA,NA,NA
137,Tadarida_teniotis,IslandEndemic,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,experts,experts,NA,NA,NA
138,Vespertilio_murinus,IslandEndemic,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,full_range,experts,experts,NA,NA,NA
139,Eptesicus_nilssonii,UpperElevationLimit,3106,NA,NA,NA,acoustic,m,NA,NA,NA,NA,Austria,Widerin & Reiter (2017),"Widerin, K., & Reiter, G. (2017). Bat activity at high altitudes in the Central Alps, Europe. Acta Chiropterologica, 19(2), 379-387.",NA,NA,NA
140,Hypsugo_savii,UpperElevationLimit,3300,NA,NA,NA,capture,m,NA,NA,NA,NA,NA,Garrido-Garcia (1999),"Garrido-Garcia, J. A. (1999). New altitude record for Chiroptera in Europe. Myotis, 37, 103.",NA,NA,NA
141,Nyctalus_noctula,UpperElevationLimit,2518,NA,NA,NA,acoustic,m,NA,NA,NA,NA,Austria,Widerin & Reiter (2017),"Widerin, K., & Reiter, G. (2017). Bat activity at high altitudes in the Central Alps, Europe. Acta Chiropterologica, 19(2), 379-387.",NA,NA,NA
142,Miniopterus_schreibersii,UpperElevationLimit,2260,NA,NA,NA,capture,m,NA,NA,NA,NA,France,Berirano (1992),"Berirano, A. (1992). Données préliminaires sur les chauves-souris de la haute chaîne pyrénéenne (Pyrénées ariégeoises). Mammalia, 56, 290-292.",NA,NA,NA
143,Miniopterus_schreibersii,GeographicRange,1979126.67,NA,NA,NA,NA,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
144,Tadarida_teniotis,GeographicRange,3897576.874,NA,NA,NA,NA,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
145,Rousettus_aegyptiacus,GeographicRange,4071434.385,NA,NA,NA,NA,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
146,Rhinolophus_blasii,GeographicRange,3410523.508,NA,NA,NA,NA,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
147,Rhinolophus_euryale,GeographicRange,2992802.015,NA,NA,NA,NA,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
148,Rhinolophus_ferrumequinum,GeographicRange,9746921.308,NA,NA,NA,NA,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
149,Rhinolophus_hipposideros,GeographicRange,6258797.907,NA,NA,NA,NA,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
150,Rhinolophus_mehelyi,GeographicRange,1977521.672,NA,NA,NA,NA,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
151,Barbastella_barbastellus,GeographicRange,3807519.926,NA,NA,NA,NA,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
152,Eptesicus_anatolicus,GeographicRange,503891.3206,NA,NA,NA,NA,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
153,Eptesicus_bottae,GeographicRange,1067294.089,NA,NA,NA,NA,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
154,Eptesicus_isabellinus,GeographicRange,852637.9049,NA,NA,NA,NA,km2,NA,NA,NA,NA,full_range,IUCN,IUCN,NA,NA,NA
